countryOrRegion,holidayName,normalizeHolidayName,isPaidTimeOff,countryRegionCode,date
United States,Thanksgiving,Thanksgiving,true,US,2022-11-24T00:00:00.000Z
Norway,Søndag,Søndag,,NO,2022-11-27T00:00:00.000Z
Sweden,Söndag,Söndag,,SE,2022-11-27T00:00:00.000Z
Scotland,St. Andrew's Day,St. Andrew's Day,,,2022-11-30T00:00:00.000Z
United Kingdom,St. Andrew's Day [Scotland],St. Andrew's Day,false,GB,2022-11-30T00:00:00.000Z
Portugal,Restauração da Independência,Restauração da Independência,,PT,2022-12-01T00:00:00.000Z
Norway,Søndag,Søndag,,NO,2022-12-04T00:00:00.000Z
Sweden,Söndag,Söndag,,SE,2022-12-04T00:00:00.000Z
Finland,Itsenäisyyspäivä,Itsenäisyyspäivä,,FI,2022-12-06T00:00:00.000Z
Spain,Día de la constitución Española,Día de la constitución Española,,ES,2022-12-06T00:00:00.000Z
Argentina,La Inmaculada Concepción [Immaculate Conception],La Inmaculada Concepción [Immaculate Conception],,AR,2022-12-08T00:00:00.000Z
Austria,Mariä Empfängnis,Mariä Empfängnis,,AT,2022-12-08T00:00:00.000Z
Colombia,La Inmaculada Concepción [Immaculate Conception],La Inmaculada Concepción [Immaculate Conception],,CO,2022-12-08T00:00:00.000Z
Italy,Immacolata Concezione,Immacolata Concezione,,IT,2022-12-08T00:00:00.000Z
Portugal,Imaculada Conceição,Imaculada Conceição,,PT,2022-12-08T00:00:00.000Z
Spain,La Inmaculada Concepción,La Inmaculada Concepción,,ES,2022-12-08T00:00:00.000Z
Norway,Søndag,Søndag,,NO,2022-12-11T00:00:00.000Z
Sweden,Söndag,Söndag,,SE,2022-12-11T00:00:00.000Z
South Africa,Day of Reconciliation,Day of Reconciliation,,ZA,2022-12-16T00:00:00.000Z
Norway,Søndag,Søndag,,NO,2022-12-18T00:00:00.000Z
Sweden,Söndag,Söndag,,SE,2022-12-18T00:00:00.000Z
Czech,Štědrý den,Štědrý den,,CZ,2022-12-24T00:00:00.000Z
Finland,Jouluaatto,Jouluaatto,,FI,2022-12-24T00:00:00.000Z
Sweden,Julafton,Julafton,,SE,2022-12-24T00:00:00.000Z
Argentina,Navidad [Christmas],Navidad [Christmas],,AR,2022-12-25T00:00:00.000Z
Australia,Christmas Day,Christmas Day,,AU,2022-12-25T00:00:00.000Z
Austria,Christtag,Christtag,,AT,2022-12-25T00:00:00.000Z
Belarus,Рождество Христово (католическое Рождество),Рождество Христово (католическое Рождество),,BY,2022-12-25T00:00:00.000Z
Belgium,Kerstmis,Kerstmis,,BE,2022-12-25T00:00:00.000Z
Brazil,Natal,Natal,,BR,2022-12-25T00:00:00.000Z
Canada,Christmas Day,Christmas Day,,CA,2022-12-25T00:00:00.000Z
Colombia,Navidad [Christmas],Navidad [Christmas],,CO,2022-12-25T00:00:00.000Z
Croatia,Božić,Božić,,HR,2022-12-25T00:00:00.000Z
Czech,1. svátek vánoční,1. svátek vánoční,,CZ,2022-12-25T00:00:00.000Z
Denmark,Juledag,Juledag,,DK,2022-12-25T00:00:00.000Z
England,Christmas Day,Christmas Day,,,2022-12-25T00:00:00.000Z
Finland,Joulupäivä,Joulupäivä,,FI,2022-12-25T00:00:00.000Z
France,Noël,Noël,,FR,2022-12-25T00:00:00.000Z
Germany,Erster Weihnachtstag,Erster Weihnachtstag,,DE,2022-12-25T00:00:00.000Z
Hungary,Karácsony,Karácsony,,HU,2022-12-25T00:00:00.000Z
India,Christmas,Christmas,false,IN,2022-12-25T00:00:00.000Z
Ireland,Christmas Day,Christmas Day,,IE,2022-12-25T00:00:00.000Z
Isle of Man,Christmas Day,Christmas Day,,IM,2022-12-25T00:00:00.000Z
Italy,Natale,Natale,,IT,2022-12-25T00:00:00.000Z
Mexico,Navidad [Christmas],Navidad [Christmas],,MX,2022-12-25T00:00:00.000Z
Netherlands,Eerste Kerstdag,Eerste Kerstdag,,NL,2022-12-25T00:00:00.000Z
New Zealand,Christmas Day,Christmas Day,,NZ,2022-12-25T00:00:00.000Z
Northern Ireland,Christmas Day,Christmas Day,,,2022-12-25T00:00:00.000Z
Norway,"Første juledag, Søndag","Første juledag, Søndag",,NO,2022-12-25T00:00:00.000Z
Poland,Boże Narodzenie (pierwszy dzień),Boże Narodzenie (pierwszy dzień),,PL,2022-12-25T00:00:00.000Z
Portugal,Dia de Natal,Dia de Natal,,PT,2022-12-25T00:00:00.000Z
Scotland,Christmas Day,Christmas Day,,,2022-12-25T00:00:00.000Z
Slovenia,Božič,Božič,,SI,2022-12-25T00:00:00.000Z
South Africa,Christmas Day,Christmas Day,,ZA,2022-12-25T00:00:00.000Z
Spain,Navidad,Navidad,,ES,2022-12-25T00:00:00.000Z
Sweden,"Juldagen, Söndag","Juldagen, Söndag",,SE,2022-12-25T00:00:00.000Z
Switzerland,Weihnachten,Weihnachten,,CH,2022-12-25T00:00:00.000Z
Ukraine,Різдво Христове (католицьке),Різдво Христове (католицьке),,UA,2022-12-25T00:00:00.000Z
United Kingdom,Christmas Day,Christmas Day,true,GB,2022-12-25T00:00:00.000Z
United States,Christmas Day,Christmas Day,true,US,2022-12-25T00:00:00.000Z
Wales,Christmas Day,Christmas Day,,,2022-12-25T00:00:00.000Z
Australia,Boxing Day,Boxing Day,,AU,2022-12-26T00:00:00.000Z
Austria,Stefanitag,Stefanitag,,AT,2022-12-26T00:00:00.000Z
Canada,Christmas Day (Observed),Christmas Day,,CA,2022-12-26T00:00:00.000Z
Croatia,Sveti Stjepan,Sveti Stjepan,,HR,2022-12-26T00:00:00.000Z
Czech,2. svátek vánoční,2. svátek vánoční,,CZ,2022-12-26T00:00:00.000Z
Denmark,Anden juledag,Anden juledag,,DK,2022-12-26T00:00:00.000Z
England,Boxing Day,Boxing Day,,,2022-12-26T00:00:00.000Z
Finland,Tapaninpäivä,Tapaninpäivä,,FI,2022-12-26T00:00:00.000Z
Germany,Zweiter Weihnachtstag,Zweiter Weihnachtstag,,DE,2022-12-26T00:00:00.000Z
Hungary,Karácsony másnapja,Karácsony másnapja,,HU,2022-12-26T00:00:00.000Z
Ireland,Boxing Day,Boxing Day,,IE,2022-12-26T00:00:00.000Z
Isle of Man,Boxing Day,Boxing Day,,IM,2022-12-26T00:00:00.000Z
Italy,Santo Stefano,Santo Stefano,,IT,2022-12-26T00:00:00.000Z
Mexico,Transmisión del Poder Ejecutivo Federal [Change of Federal Government] (Observed),Transmisión del Poder Ejecutivo Federal [Change of Federal Government],,MX,2022-12-26T00:00:00.000Z
Netherlands,Tweede Kerstdag,Tweede Kerstdag,,NL,2022-12-26T00:00:00.000Z
New Zealand,Boxing Day,Boxing Day,,NZ,2022-12-26T00:00:00.000Z
Northern Ireland,Boxing Day,Boxing Day,,,2022-12-26T00:00:00.000Z
Norway,Andre juledag,Andre juledag,,NO,2022-12-26T00:00:00.000Z
Poland,Boże Narodzenie (drugi dzień),Boże Narodzenie (drugi dzień),,PL,2022-12-26T00:00:00.000Z
Scotland,Boxing Day,Boxing Day,,,2022-12-26T00:00:00.000Z
Slovenia,dan samostojnosti in enotnosti,dan samostojnosti in enotnosti,,SI,2022-12-26T00:00:00.000Z
South Africa,"Christmas Day (Observed), Day of Goodwill","Christmas Day , Day of Goodwill",,ZA,2022-12-26T00:00:00.000Z
Sweden,Annandag jul,Annandag jul,,SE,2022-12-26T00:00:00.000Z
United Kingdom,Boxing Day,Boxing Day,true,GB,2022-12-26T00:00:00.000Z
United States,Christmas Day (Observed),Christmas Day,true,US,2022-12-26T00:00:00.000Z
Wales,Boxing Day,Boxing Day,,,2022-12-26T00:00:00.000Z
Australia,Christmas Day (Observed),Christmas Day,,AU,2022-12-27T00:00:00.000Z
Canada,Boxing Day (Observed),Boxing Day,,CA,2022-12-27T00:00:00.000Z
England,Christmas Day (Observed),Christmas Day,,,2022-12-27T00:00:00.000Z
Ireland,Christmas Day (Observed),Christmas Day,,IE,2022-12-27T00:00:00.000Z
Isle of Man,Christmas Day (Observed),Christmas Day,,IM,2022-12-27T00:00:00.000Z
New Zealand,Christmas Day (Observed),Christmas Day,,NZ,2022-12-27T00:00:00.000Z
Northern Ireland,Christmas Day (Observed),Christmas Day,,,2022-12-27T00:00:00.000Z
Scotland,Christmas Day (Observed),Christmas Day,,,2022-12-27T00:00:00.000Z
United Kingdom,Christmas Day (Observed),Christmas Day,true,GB,2022-12-27T00:00:00.000Z
Wales,Christmas Day (Observed),Christmas Day,,,2022-12-27T00:00:00.000Z
Sweden,Nyårsafton,Nyårsafton,,SE,2022-12-31T00:00:00.000Z
Argentina,Año Nuevo [New Year's Day],Año Nuevo [New Year's Day],,AR,2023-01-01T00:00:00.000Z
Australia,New Year's Day,New Year's Day,,AU,2023-01-01T00:00:00.000Z
Austria,Neujahr,Neujahr,,AT,2023-01-01T00:00:00.000Z
Belarus,Новый год,Новый год,,BY,2023-01-01T00:00:00.000Z
Belgium,Nieuwjaarsdag,Nieuwjaarsdag,,BE,2023-01-01T00:00:00.000Z
Brazil,Ano novo,Ano novo,,BR,2023-01-01T00:00:00.000Z
Canada,New Year's Day,New Year's Day,,CA,2023-01-01T00:00:00.000Z
Croatia,Nova Godina,Nova Godina,,HR,2023-01-01T00:00:00.000Z
Czech,Den obnovy samostatného českého státu,Den obnovy samostatného českého státu,,CZ,2023-01-01T00:00:00.000Z
Denmark,Nytårsdag,Nytårsdag,,DK,2023-01-01T00:00:00.000Z
England,New Year's Day,New Year's Day,,,2023-01-01T00:00:00.000Z
Finland,Uudenvuodenpäivä,Uudenvuodenpäivä,,FI,2023-01-01T00:00:00.000Z
France,Jour de l'an,Jour de l'an,,FR,2023-01-01T00:00:00.000Z
Germany,Neujahr,Neujahr,,DE,2023-01-01T00:00:00.000Z
Hungary,Újév,Újév,,HU,2023-01-01T00:00:00.000Z
Ireland,New Year's Day,New Year's Day,,IE,2023-01-01T00:00:00.000Z
Isle of Man,New Year's Day,New Year's Day,,IM,2023-01-01T00:00:00.000Z
Italy,Capodanno,Capodanno,,IT,2023-01-01T00:00:00.000Z
Japan,元日,元日,,JP,2023-01-01T00:00:00.000Z
Mexico,Año Nuevo [New Year's Day],Año Nuevo [New Year's Day],,MX,2023-01-01T00:00:00.000Z
Netherlands,Nieuwjaarsdag,Nieuwjaarsdag,,NL,2023-01-01T00:00:00.000Z
New Zealand,New Year's Day,New Year's Day,,NZ,2023-01-01T00:00:00.000Z
Northern Ireland,New Year's Day,New Year's Day,,,2023-01-01T00:00:00.000Z
Norway,"Første nyttårsdag, Søndag","Første nyttårsdag, Søndag",,NO,2023-01-01T00:00:00.000Z
Poland,Nowy Rok,Nowy Rok,,PL,2023-01-01T00:00:00.000Z
Portugal,Ano Novo,Ano Novo,,PT,2023-01-01T00:00:00.000Z
Scotland,New Year's Day,New Year's Day,,,2023-01-01T00:00:00.000Z
Slovenia,novo leto,novo leto,,SI,2023-01-01T00:00:00.000Z
South Africa,New Year's Day,New Year's Day,,ZA,2023-01-01T00:00:00.000Z
Spain,Año nuevo,Año nuevo,,ES,2023-01-01T00:00:00.000Z
Sweden,"Nyårsdagen, Söndag","Nyårsdagen, Söndag",,SE,2023-01-01T00:00:00.000Z
Switzerland,Neujahrestag,Neujahrestag,,CH,2023-01-01T00:00:00.000Z
Ukraine,Новий рік,Новий рік,,UA,2023-01-01T00:00:00.000Z
United Kingdom,New Year's Day,New Year's Day,true,GB,2023-01-01T00:00:00.000Z
United States,New Year's Day,New Year's Day,true,US,2023-01-01T00:00:00.000Z
Wales,New Year's Day,New Year's Day,,,2023-01-01T00:00:00.000Z
Australia,New Year's Day (Observed),New Year's Day,,AU,2023-01-02T00:00:00.000Z
Belarus,Новый год,Новый год,,BY,2023-01-02T00:00:00.000Z
Canada,New Year's Day (Observed),New Year's Day,,CA,2023-01-02T00:00:00.000Z
England,New Year's Day (Observed),New Year's Day,,,2023-01-02T00:00:00.000Z
Ireland,New Year's Day (Observed),New Year's Day,,IE,2023-01-02T00:00:00.000Z
Isle of Man,New Year's Day (Observed),New Year's Day,,IM,2023-01-02T00:00:00.000Z
Japan,振替休日,振替休日,,JP,2023-01-02T00:00:00.000Z
Mexico,Año Nuevo [New Year's Day] (Observed),Año Nuevo [New Year's Day],,MX,2023-01-02T00:00:00.000Z
New Zealand,Day after New Year's Day,Day after New Year's Day,,NZ,2023-01-02T00:00:00.000Z
Northern Ireland,New Year's Day (Observed),New Year's Day,,,2023-01-02T00:00:00.000Z
Scotland,"New Year Holiday, New Year's Day (Observed)","New Year Holiday, New Year's Day",,,2023-01-02T00:00:00.000Z
Slovenia,novo leto,novo leto,,SI,2023-01-02T00:00:00.000Z
South Africa,New Year's Day (Observed),New Year's Day,,ZA,2023-01-02T00:00:00.000Z
United Kingdom,"New Year Holiday [Scotland], New Year's Day (Observed)","New Year Holiday , New Year's Day",true,GB,2023-01-02T00:00:00.000Z
United States,New Year's Day (Observed),New Year's Day,true,US,2023-01-02T00:00:00.000Z
Wales,New Year's Day (Observed),New Year's Day,,,2023-01-02T00:00:00.000Z
New Zealand,New Year's Day (Observed),New Year's Day,,NZ,2023-01-03T00:00:00.000Z
Scotland,New Year Holiday (Observed),New Year Holiday,,,2023-01-03T00:00:00.000Z
United Kingdom,New Year Holiday [Scotland] (Observed),New Year Holiday,true,GB,2023-01-03T00:00:00.000Z
Austria,Heilige Drei Könige,Heilige Drei Könige,,AT,2023-01-06T00:00:00.000Z
Croatia,Sveta tri kralja,Sveta tri kralja,,HR,2023-01-06T00:00:00.000Z
Finland,Loppiainen,Loppiainen,,FI,2023-01-06T00:00:00.000Z
Italy,Epifania del Signore,Epifania del Signore,,IT,2023-01-06T00:00:00.000Z
Poland,Święto Trzech Króli,Święto Trzech Króli,,PL,2023-01-06T00:00:00.000Z
Spain,Epifanía del Señor,Epifanía del Señor,,ES,2023-01-06T00:00:00.000Z
Sweden,Trettondedag jul,Trettondedag jul,,SE,2023-01-06T00:00:00.000Z
Belarus,Рождество Христово (православное Рождество),Рождество Христово (православное Рождество),,BY,2023-01-07T00:00:00.000Z
Ukraine,Різдво Христове (православне),Різдво Христове (православне),,UA,2023-01-07T00:00:00.000Z
Norway,Søndag,Søndag,,NO,2023-01-08T00:00:00.000Z
Sweden,Söndag,Söndag,,SE,2023-01-08T00:00:00.000Z
Colombia,Día de los Reyes Magos [Epiphany](Observed),Día de los Reyes Magos [Epiphany],,CO,2023-01-09T00:00:00.000Z
Japan,成人の日,成人の日,,JP,2023-01-09T00:00:00.000Z
India,Makar Sankranti / Pongal,Makar Sankranti / Pongal,false,IN,2023-01-14T00:00:00.000Z
Norway,Søndag,Søndag,,NO,2023-01-15T00:00:00.000Z
Sweden,Söndag,Söndag,,SE,2023-01-15T00:00:00.000Z
United States,Martin Luther King Jr. Day,Martin Luther King Jr. Day,,US,2023-01-16T00:00:00.000Z
Norway,Søndag,Søndag,,NO,2023-01-22T00:00:00.000Z
Sweden,Söndag,Söndag,,SE,2023-01-22T00:00:00.000Z
Australia,Australia Day,Australia Day,,AU,2023-01-26T00:00:00.000Z
India,Republic Day,Republic Day,true,IN,2023-01-26T00:00:00.000Z
Norway,Søndag,Søndag,,NO,2023-01-29T00:00:00.000Z
Sweden,Söndag,Söndag,,SE,2023-01-29T00:00:00.000Z
Mexico,Día de la Constitución [Constitution Day],Día de la Constitución [Constitution Day],,MX,2023-02-05T00:00:00.000Z
Norway,Søndag,Søndag,,NO,2023-02-05T00:00:00.000Z
Sweden,Söndag,Söndag,,SE,2023-02-05T00:00:00.000Z
Mexico,Día de la Constitución [Constitution Day] (Observed),Día de la Constitución [Constitution Day],,MX,2023-02-06T00:00:00.000Z
New Zealand,Waitangi Day,Waitangi Day,,NZ,2023-02-06T00:00:00.000Z
Slovenia,Prešernov dan,Prešernov dan,,SI,2023-02-08T00:00:00.000Z
Japan,建国記念の日,建国記念の日,,JP,2023-02-11T00:00:00.000Z
Norway,Søndag,Søndag,,NO,2023-02-12T00:00:00.000Z
Sweden,Söndag,Söndag,,SE,2023-02-12T00:00:00.000Z
Norway,Søndag,Søndag,,NO,2023-02-19T00:00:00.000Z
Sweden,Söndag,Söndag,,SE,2023-02-19T00:00:00.000Z
Argentina,Día de Carnaval [Carnival's Day],Día de Carnaval [Carnival's Day],,AR,2023-02-20T00:00:00.000Z
Canada,Family Day,Family Day,,CA,2023-02-20T00:00:00.000Z
United States,Washington's Birthday,Washington's Birthday,true,US,2023-02-20T00:00:00.000Z
Argentina,Día de Carnaval [Carnival's Day],Día de Carnaval [Carnival's Day],,AR,2023-02-21T00:00:00.000Z
Brazil,Carnaval,Carnaval,,BR,2023-02-21T00:00:00.000Z
Brazil,Quarta-feira de cinzas (Início da Quaresma),Quarta-feira de cinzas (Início da Quaresma),,BR,2023-02-22T00:00:00.000Z
Japan,天皇誕生日,天皇誕生日,,JP,2023-02-23T00:00:00.000Z
Norway,Søndag,Søndag,,NO,2023-02-26T00:00:00.000Z
Sweden,Söndag,Söndag,,SE,2023-02-26T00:00:00.000Z
Norway,Søndag,Søndag,,NO,2023-03-05T00:00:00.000Z
Sweden,Söndag,Söndag,,SE,2023-03-05T00:00:00.000Z
Belarus,День женщин,День женщин,,BY,2023-03-08T00:00:00.000Z
Ukraine,Міжнародний жіночий день,Міжнародний жіночий день,,UA,2023-03-08T00:00:00.000Z
Norway,Søndag,Søndag,,NO,2023-03-12T00:00:00.000Z
Sweden,Söndag,Söndag,,SE,2023-03-12T00:00:00.000Z
Hungary,Nemzeti ünnep,Nemzeti ünnep,,HU,2023-03-15T00:00:00.000Z
